run,model,concurrency,arm,device_tokens,host_tokens,sessions,failed,jct_p50_s,jct_p95_s,jct_mean_s,ttft_p50_ms,ttft_p95_ms,ttft_p50_inv2_ms,calls,prompt_tokens_per_call,device_pct,host_pct,miss_pct,output_tokens,decode_ms_per_token,demand_loads,load_ms_p50,promotions_started,accuracy
q4b,Qwen/Qwen3-4B,1,lru,87994,108506,12,0,54.6,67.3,57.9,250,610,283,274,4632,66.5,0.0,33.5,51386,12.44,0,,0,2/12
q4b,Qwen/Qwen3-4B,1,ours,87994,108506,12,0,55.2,67.5,58.3,250,611,284,274,4632,66.5,0.0,33.5,51386,12.44,0,,0,2/12
q4b,Qwen/Qwen3-4B,2,lru,87994,108506,12,0,68.0,84.4,68.9,293,653,303,274,4756,66.2,0.0,33.8,51118,14.78,2,35,0,2/12
q4b,Qwen/Qwen3-4B,2,ours,87994,108506,12,0,70.2,84.3,70.5,284,662,300,274,4754,66.4,0.0,33.6,52053,14.83,0,,0,2/12
q4b,Qwen/Qwen3-4B,3,lru,87994,108506,12,0,70.1,95.3,78.1,324,659,352,270,4812,65.3,0.1,34.7,49438,17.43,5,35,0,3/12
q4b,Qwen/Qwen3-4B,3,ours,87994,108506,12,0,80.7,99.5,82.6,286,677,308,278,4711,67.0,0.0,33.0,52913,17.20,0,,0,3/12
q4b,Qwen/Qwen3-4B,4,lru,87994,108506,12,0,83.0,114.8,89.4,308,668,310,278,4608,65.4,1.2,33.4,51218,19.40,7,57,0,3/12
q4b,Qwen/Qwen3-4B,4,ours,87994,108506,12,0,78.0,117.9,88.4,296,649,311,278,4574,66.3,0.8,32.9,50856,19.14,4,62,0,3/12
q4b,Qwen/Qwen3-4B,6,lru,87994,108506,12,0,99.2,141.5,114.1,377,942,394,270,4812,50.4,8.7,40.9,49631,25.41,38,65,0,3/12
q4b,Qwen/Qwen3-4B,6,ours,87994,108506,12,0,97.8,147.0,111.6,342,817,360,274,4753,56.3,6.5,37.2,50298,24.59,21,85,0,2/12
q4b,Qwen/Qwen3-4B,8,lru,87994,108506,12,0,145.9,190.3,145.2,393,1345,453,273,4685,41.6,8.9,49.5,51137,31.38,38,83,0,2/12
q4b,Qwen/Qwen3-4B,8,ours,87994,108506,12,0,147.3,189.1,143.1,365,1451,399,275,4744,48.2,4.7,47.1,50270,31.40,26,74,2,2/12
q8b,Qwen/Qwen3-8B,1,lru,31830,108506,12,0,54.8,73.8,60.0,408,977,525,275,4656,63.0,2.7,34.3,30667,20.97,32,25,0,3/12
q8b,Qwen/Qwen3-8B,1,ours,31830,108506,12,0,54.9,73.3,59.8,409,975,521,275,4704,64.9,1.2,33.9,30445,20.96,8,643,2,3/12
q8b,Qwen/Qwen3-8B,2,lru,31830,108506,12,0,67.7,90.3,72.3,507,1058,544,278,4708,44.8,21.9,33.2,30727,25.26,80,98,0,4/12
q8b,Qwen/Qwen3-8B,2,ours,31830,108506,12,0,68.3,84.0,71.4,527,1030,562,275,4686,54.7,11.2,34.0,30279,25.08,34,426,2,3/12
q8b,Qwen/Qwen3-8B,3,lru,31830,108506,12,0,85.2,96.5,85.4,485,1097,605,274,4717,29.8,36.2,33.9,30752,30.09,128,87,0,3/12
q8b,Qwen/Qwen3-8B,3,ours,31830,108506,12,0,86.4,99.6,85.6,482,1122,577,275,4704,38.9,27.1,34.1,30663,30.05,90,97,10,3/12
q8b,Qwen/Qwen3-8B,4,lru,31830,108506,12,0,98.6,126.2,97.4,581,2399,647,274,4766,27.4,37.5,35.1,30074,33.56,154,76,0,2/12
q8b,Qwen/Qwen3-8B,4,ours,31830,108506,12,0,88.9,114.8,95.1,550,1752,616,275,4620,36.4,29.4,34.2,30562,32.94,114,76,18,3/12
q8b,Qwen/Qwen3-8B,6,lru,31830,108506,12,0,133.5,167.4,137.2,1069,5388,1255,274,4634,19.1,39.9,40.9,29126,41.03,179,84,0,2/12
q8b,Qwen/Qwen3-8B,6,ours,31830,108506,12,0,124.7,155.8,131.7,1012,4850,1163,277,4627,23.4,38.1,38.5,28986,40.27,176,91,6,3/12
q8b,Qwen/Qwen3-8B,8,lru,31830,108506,12,0,193.1,243.7,186.0,1269,11024,1610,275,4627,16.4,32.3,51.2,30776,42.48,154,95,0,3/12
q8b,Qwen/Qwen3-8B,8,ours,31830,108506,12,0,161.5,222.4,173.2,1444,9590,1685,275,4649,20.8,33.7,45.5,30574,41.76,166,95,7,3/12
